"colsample_bytree","learn_rate","gamma","max_depth","min_child_weight","reg_alpha","reg_lambda","subsample","test_rmse_mean"
1,0.055,0,4,10,0,0,0.8,2024.3736085
1,0.06,0,5,30,0,0,0.5,2019.0505371
1,0.02,0,7,30,0,0,0.5,2030.8109984
1,0.005,0,7,20,0,0,0.5,2030.7774901
1,0.02,0,7,10,0,0,0.4,2044.0978515
1,0.035,0,4,0,0,0,0.9,2034.5671267
1,0.025,0,6,30,0,0,0.9,2017.196936
1,0.025,0,8,0,0,0,0.6,2096.743518
1,0.04,0,3,30,0,0,0.4,2018.0017701
1,0.04,0,6,10,0,0,0.4,2036.5083983
1,0.05,0,6,50,0,0,0.8,2019.8171264
1,0.005,0,7,20,0,0,0.6,2031.6743897
1,0.03,0,5,40,0,0,0.8,2019.6600341
1,0.065,0,3,0,0,0,0.7,2026.9181518
1,0.07,0,3,30,0,0,0.7,2017.494104
1,0.065,0,4,30,0,0,0.7,2016.5163085
1,0.07,0,3,40,0,0,0.5,2020.4970092
1,0.045,0,3,50,0,0,0.6,2014.3511841
1,0.07,0,5,40,0,0,0.5,2024.4005492
1,0.065,0,3,40,0,0,0.7,2025.4297364
1,0.01,0,3,30,0,0,0.5,2021.0898561
1,0.08,0,6,30,0,0,0.5,2023.0075563
1,0.065,0,3,10,0,0,0.4,2022.1130126
1,0.04,0,7,20,0,0,0.8,2023.2154541
1,0.08,0,7,40,0,0,0.8,2024.9354247
1,0.025,0,3,10,0,0,0.5,2017.4755495
1,0.01,0,3,10,0,0,0.8,2017.7337403
1,0.04,0,4,10,0,0,0.4,2025.2022339
1,0.075,0,5,10,0,0,0.8,2029.5467895
1,0.06,0,6,20,0,0,0.8,2027.8505738
1,0.005,0,4,20,0,0,0.5,2017.7650755
1,0.035,0,4,30,0,0,0.7,2017.5991334
1,0.07,0,6,50,0,0,0.8,2022.3052857
1,0.055,0,3,20,0,0,0.5,2019.1364501
1,0.075,0,7,50,0,0,0.5,2033.7084961
1,0.025,0,8,10,0,0,0.6,2051.9859253
1,0.05,0,3,30,0,0,0.5,2013.4506715
1,0.055,0,7,30,0,0,0.9,2029.7221436
1,0.05,0,8,20,0,0,0.5,2040.628772
1,0.035,0,4,10,0,0,0.6,2018.9797486
1,0.07,0,5,20,0,0,0.9,2015.8038209
1,0.07,0,5,10,0,0,0.5,2022.3420411
1,0.07,0,3,0,0,0,0.9,2024.9720093
1,0.02,0,5,20,0,0,0.5,2016.1114013
1,0.04,0,4,10,0,0,0.7,2030.4461913
1,0.05,0,5,40,0,0,0.6,2023.6539552
1,0.08,0,3,30,0,0,0.7,2019.9552857
1,0.015,0,6,0,0,0,0.8,2060.8249267
1,0.01,0,3,20,0,0,0.5,2013.4098511
1,0.025,0,6,30,0,0,0.8,2020.2750854
1,0.025,0,7,50,0,0,0.8,2023.8722166
1,0.02,0,4,10,0,0,0.8,2022.4006837
1,0.08,0,3,50,0,0,0.4,2020.9873778
1,0.04,0,3,0,0,0,0.8,2031.5610596
1,0.04,0,7,50,0,0,0.4,2031.702649
1,0.015,0,5,20,0,0,0.9,2024.1221192
1,0.06,0,4,0,0,0,0.9,2030.2504394
1,0.005,0,8,50,0,0,0.8,2029.0284788
1,0.075,0,7,50,0,0,0.7,2027.6599609
1,0.005,0,5,10,0,0,0.5,2026.6633422
1,0.015,0,3,40,0,0,0.7,2020.8733277
1,0.01,0,7,40,0,0,0.5,2032.336133
1,0.065,0,7,50,0,0,0.4,2030.0036009
1,0.04,0,7,10,0,0,0.6,2041.7400633
1,0.05,0,7,20,0,0,0.5,2036.3789307
1,0.06,0,5,20,0,0,0.6,2018.7537354
1,0.025,0,4,10,0,0,0.8,2019.9190673
1,0.05,0,4,40,0,0,0.7,2020.4503784
1,0.02,0,3,40,0,0,0.8,2018.7512331
1,0.08,0,3,20,0,0,0.6,2013.7734985
1,0.075,0,5,50,0,0,0.7,2026.6821656
1,0.02,0,7,0,0,0,0.9,2072.1359132
1,0.035,0,5,50,0,0,0.7,2021.4623535
1,0.065,0,6,0,0,0,0.7,2047.8165284
1,0.035,0,3,30,0,0,0.7,2019.9936889
1,0.05,0,5,50,0,0,0.8,2021.8061891
1,0.04,0,5,40,0,0,0.6,2014.9924683
1,0.01,0,7,20,0,0,0.8,2038.5092042
1,0.005,0,7,50,0,0,0.8,2029.2992798
1,0.01,0,4,20,0,0,0.8,2012.6916015
