"colsample_bytree","learn_rate","gamma","max_depth","min_child_weight","reg_alpha","reg_lambda","subsample","test_mae_mean"
0.8,0.005,0,6,20,0.00001,1,0.6,1214.7563722
0.5,0.025,2.5,6,0,0.001,1,0.6,1216.9300048
0.45,0.02,0.5,4,10,0.01,0.75,0.5,1222.8315186
0.6,0.02,0,8,5,0.001,0.5,0.7,1217.2885498
0.4,0.005,3.25,8,15,0,0.5,0.6,1222.30647
0.5,0.005,4.5,12,20,0.01,1,0.6,1232.7201416
0.5,0.02,3.5,9,10,0.00001,1,0.4,1236.4141356
0.65,0.04,4.75,5,15,0.001,0.75,0.6,1218.1509764
0.6,0.02,0.75,5,15,0.01,0.75,0.4,1225.8974366
0.4,0.025,0,8,0,0,0.5,0.9,1217.1798094
0.45,0.035,4,7,20,0,1,0.8,1210.5601072
0.6,0.04,0.5,5,10,0.001,0.5,0.5,1222.3152832
0.7,0.015,0.5,12,15,0.001,0.5,0.7,1230.6205566
0.7,0.025,0.5,6,20,0,0.75,0.6,1213.2550294
0.8,0.01,2,4,0,0.00001,0.75,0.7,1211.3157226
0.65,0.015,5,12,15,0.00001,1,0.6,1230.879956
0.8,0.04,4.75,5,5,0,0.75,0.7,1211.9313234
0.55,0.035,0.25,9,15,0,0.5,0.8,1216.1625486
0.4,0.04,4.5,9,20,0.001,0.75,0.4,1231.4392576
0.65,0.035,1.5,6,20,0,1,0.6,1215.1180662
0.7,0.005,2.75,12,20,0.001,1,0.7,1227.4331542
0.45,0.01,1.25,9,20,0.00001,0.5,0.9,1213.8616946
0.65,0.04,3.5,11,20,0,0.5,0.4,1238.7608644
0.4,0.01,2,8,15,0.00001,0.5,0.7,1217.6572508
0.75,0.04,0.75,4,10,0.01,0.5,0.4,1227.0843508
